,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
26,EIF2B1,0.768241304726952,TSPAN13,1.8340964712589625,FAM127B,0.3715692302865572,CORO1A,1.0142706940912636,SLC7A7,1.4586688071551792,CENPO,0.14872184730560203
27,EIF3A,0.7663977069906699,WAS,1.8339585554317213,DA102929,0.37121580524541087,PRF1,1.0137140346535927,IRAK1,1.4577118585707434,TRADD,0.14863041636142568
28,RNPS1,0.7647978170197712,ASPM,1.833636628793883,AK055561,0.3703694305455513,GZMK,1.0130647683881575,MYO1F,1.4548972449037627,FASTK,0.1485696136583172
29,LY96,0.7638262833144515,RACGAP1,1.8322790801954854,WWC1,0.37031725688812833,GIMAP5,1.012425199030459,C16orf57,1.4509501614993396,TPR,0.14837071971220445
30,DCTN4,0.7631467433328135,CORO1C,1.8319728466973382,CDC42EP5,0.3700502372917425,SPOCK2,1.0121983023428172,SLC15A3,1.4480526076665676,LGALS3BP,0.14825313278740004
31,SIL1,0.7630691222925683,RTN3,1.8314543122698597,ADH1A,0.3698006363444639,LRMP,1.0118078992513668,SLC7A6,1.4462406074164191,PPP2R2A,0.14817463575092138
32,ARL6IP6,0.7627552881840038,ARPP19,1.830745525160099,NDST1,0.36969632896292626,NKG7,1.0114256134166988,SDHC,1.4437565397425112,GSTCD,0.14806463382873028
33,NS4ATP2,0.7627051437441703,YY1,1.830249279613969,ADM,0.36833145047084515,ARHGAP25,1.0110811839579068,TRPV2,1.4433169259677339,CDC34,0.14798900315306238
34,G3BP1,0.7625099533715768,TICAM2,1.8293240821910122,CCDC28A,0.368246753220569,ARHGAP9,1.008370078784162,CBX2,1.442407422905569,XPO1,0.14788144093544472
35,ACTG1,0.7619678478855799,LARP4,1.8280962918573964,DARC,0.36813796600312826,YY1,1.008095692124403,ARSG,1.4414483133890557,KIAA2026,0.14781291565602073
36,UBE2D3,0.7616024730569236,TPX2,1.8280021780988498,EYA2,0.36809271030920593,CXCR3,1.0056098730179188,ANKRD11,1.4398170485765953,DDX17,0.1474685782459367
37,CORO1C,0.7577990725353159,CYP51A1,1.8219870536172076,C6orf130,0.36758915951692733,ICOS,1.0026733021218632,POR,1.4389462645947053,RPS4X,0.147176967005009
38,PDPK1,0.7574684160276418,ATF4,1.8192206730057432,PLIN1,0.3668758057471182,GIMAP4,1.000543760595253,SFRS17A,1.4355463235537111,MED19,0.14710373975705274
39,LUC7L3,0.7556086562702463,CDCA3,1.819204462011386,PGR,0.3660869378646694,CD79B,0.9988176358177002,PKD2,1.4348119613621542,RAB33B,0.1470791497882518
40,ANXA2P1,0.7545714735409738,METTL23,1.8191213938601132,AKR1C2,0.36579765172127754,GZMA,0.9983713800391879,PTPN7,1.4345700314335836,KDM5B,0.1470004266960515
41,XPO4,0.7537432017633775,G3BP1,1.8155207339444688,PSME2,0.3657226556992778,FAM98A,0.997366954666855,EBF1,1.4328386814175489,POGK,0.14697791084243841
42,CCT6A,0.7536248251195224,SYK,1.814750072458312,CIDEC,0.3653543552875074,HCST,0.9967668733318577,C6orf47,1.4303696027843604,PRRC2C,0.14672599925001706
43,BTBD1,0.7534318039861384,RBM34,1.8136244731374769,MLF2,0.3643751498548791,SASH3,0.9959050878927346,MPDU1,1.4284877034620194,VCAM1,0.14666043828336153
44,SREK1,0.753170189804702,KIF4A,1.8128369301546883,LRIG1,0.36292467474508694,SH2D1A,0.9958076918235813,MYB,1.4278998731385468,MKL2,0.1465590043212124
