,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
17210,RESP18,0.59699786197534,TSPAN33,1.6098992639185947,AW263033,0.3439597381275196,FOLH1,0.41684037164771387,AW182300,0.8877474566002382,AA568531,0.2998676460306706
17211,TIMP3,0.596972660602425,COX4I2,1.6098558673249204,AI221316,0.3439578846301944,C20orf96,0.4168315875711536,SCLT1,0.8877332408926318,AA428614,0.2998643766019107
17212,TMEM74,0.5969671796414032,RCE1,1.6098543987959395,C8orf38,0.34395109719062145,TOLLIP,0.41681602694200326,C1orf124,0.887723206771638,FBXO39,0.2998616907177511
17213,AA856966,0.5969567818649849,BU607825,1.609850952209776,DTNBP1,0.3439480548988741,MIOS,0.4168146518643792,TRIM67,0.887715636830304,KHDRBS3,0.2998579370604526
17214,AX747098,0.5969527796866267,AK123300,1.60983051695127,AA909683,0.34393748303359634,IGSF3,0.4167958460490368,LETR1,0.887692563999992,CB045079,0.2998545968137723
17215,AI205822,0.5969249748276272,TMEM87B,1.6098238986658338,RUNX3,0.3439371461624373,CHODL,0.4167861201212242,PAQR6,0.8876754990683419,AW995179,0.2998533854936786
17216,FAM53C,0.5969070359226779,CDC14B,1.6097134779257645,TOP1MT,0.34393643076249103,TBC1D13,0.41678125212070943,TM4SF5,0.8876722356164811,AI932371,0.29985064144570645
17217,BE464322,0.5968834911133399,COMMD9,1.6097087349037702,BX116705,0.3439343085470555,USP16,0.4167562575126806,AA013027,0.887656346236244,CCL27,0.299845406107335
17218,AA877414,0.5968767718211713,AK000019,1.6096996851510978,ADAMTS8,0.34393289066373983,POLR3K,0.41674912869735703,NRARP,0.8876473291587237,PWWP3A,0.2998396456029192
17219,CEP135,0.5968725934436103,EPHB2,1.6096821507809973,BQ429976,0.3439307730702376,AI636045,0.4167450371483973,VNN2,0.887646231468976,YPEL4,0.2998384676415011
17220,SLC23A2,0.5968667999787801,PEG10,1.6096346695312291,TRIM16,0.34392884565378706,AA515586,0.4167349386484623,AV691356,0.8876442536659264,CA448799,0.2998340486320465
17221,GALP,0.5968599895703988,PATZ1,1.6096312019353274,BCL7B,0.34391910183369595,BQ024999,0.41671530719208455,CR748887,0.8876415778262519,SLC25A13,0.2998272761493409
17222,GLI2,0.5968534942106594,PEPD,1.609617621183985,S100A7L2,0.3439121328761318,GZF1,0.4166857897788787,RNF25,0.8876162673345807,RIN1,0.29982722037389314
17223,YOD1,0.5968369191689765,ACACB,1.6095735263374458,ZCCHC9,0.343907236805354,CYB561D2,0.4166836028326435,INTU,0.8876081165263666,LRRC67,0.29982450297183466
17224,SELRC1,0.596815817288883,UGT2B7,1.6095003530501573,AI677710,0.3439072187085928,NEO1,0.41667820406652745,RAB31,0.8876010876358055,KIAA1737,0.2998225699882304
17225,NKX2-6,0.5968152151079531,DTNBP1,1.6094762742865931,AI970209,0.34389132657330856,FXN,0.41666443184062907,AW043908,0.8875635961853225,TMEM139,0.29982015763493386
17226,POC5,0.596796407359894,BEND7,1.6094471770875152,AI277451,0.3438902826683771,MOAP1,0.4166608636645515,TFPI,0.8875494490548158,LDB1,0.2998174777378131
17227,GPX4,0.5967959433442737,PLA2G6,1.609409465662074,RPL27,0.3438871077473554,HIST1H2AG,0.4166473608617222,PCSK2,0.8875383125819202,AA215505,0.29980321780365976
17228,BX105782,0.5967836036942024,GPX3,1.6093808250783892,DA874553,0.3438805682887782,BX100579,0.41664280198105746,SNAPC2,0.8875374129886362,BE501770,0.29979947481107744
17229,HSD17B6,0.5967770731633916,CTSH,1.6093157338629451,C17orf67,0.34387613779650794,SEPT2,0.4166378886716835,MRPL17,0.8875289415483649,AW173318,0.29979876957446155
17230,AA769577,0.5967732272930927,CDR2L,1.6092938884189323,SV2C,0.3438756184862624,MYO6,0.4166307338311899,OR4M2,0.8875165934527031,ETV6,0.2997939073619571
17231,CUL3,0.5967671445620666,EDNRA,1.609260694728884,NLRP9,0.343875348966842,PRDM10,0.41662873822004887,CLEC5A,0.887511143726964,CYP2J2,0.29979371291376494
17232,NPNT,0.5967396934295852,MYCL1,1.6092226233357705,AI306696,0.3438579691794367,ARID3A,0.41657386254153184,BX097352,0.8875096316322234,SEPN1,0.2997896787596831
17233,C14orf156,0.596730876371429,ABHD1,1.609219925890495,HIST1H2AH,0.3438564174419438,AI793002,0.41656630082333207,AA854008,0.8874921915129245,ENO4,0.29978645217234623
